theorem_name,status,blind_search_ratio,blind_expansions,generated_calls,total_suggestions,total_executed_edges,avg_suggestions_per_expansion,max_depth_reached,queue_peak_size,avg_step_logprob_all,avg_step_logprob_success,avg_step_logprob_error
Algebra.map_leftMulMatrix_localization,Failed,0.2,1,5,34,34,6.8,3,2,-0.5227045361801099,-0.5356619250567519,-0.5193452131380175
Batteries.BinomialHeap.Imp.Heap.WF.tail?,Failed,0.5,1,2,26,26,13.0,1,1,-0.43880668836279857,-0.21735495968802915,-0.47907063903093844
CancelDenoms.cancel_factors_lt,Proved,0.0,0,5,102,84,20.4,3,7,-0.38743881898739413,-0.2790033020799294,-0.42591593789004323
CategoryTheory.Equivalence.invFunIdAssoc_hom_app,Open,0.0,0,1,22,22,22.0,0,1,-0.520247189024706,-0.459368542568755,-0.5381526732764566
CochainComplex.mk'_d_1_0,Failed,1.0,1,1,15,15,15.0,0,1,-0.391585203413625,,-0.391585203413625
Combinatorics.Line.apply_of_ne_none,Proved,0.0,0,1,16,16,16.0,1,4,-0.45960235337974126,-0.5030220985412597,-0.4161826082182226
Convex.thickening,Open,0.0,0,1,7,6,7.0,1,1,-0.32144620186112194,-0.45116586685180665,-0.29550226886298503
ENNReal.le_rpow_one_div_iff,Open,0.0,0,2,29,29,14.5,1,1,-0.7060768484004106,-0.7546848615010578,-0.7004682315041821
Equiv.Perm.prod_comp',Failed,0.5,2,4,70,70,17.5,2,2,-0.43862281069789977,-1.8645057188140022,-0.3747773073494176
Filter.HasBasis.to_hasBasis',Failed,1.0,1,1,11,11,11.0,0,1,-0.2309247036445173,,-0.2309247036445173
Finmap.erase_toFinmap,Proved,0.0,0,1,8,1,8.0,0,1,-0.24050824642181395,-0.24050824642181395,
FreeAlgebra.toTensor_ι,Proved,0.0,0,1,7,1,7.0,0,1,-0.165379931529363,-0.165379931529363,
Ideal.span_singleton_eq_span_singleton,Open,0.0,0,1,5,5,5.0,0,1,-0.42170555234957147,-0.7194749116897583,-0.3472632125145247
IntermediateField.separable_of_mem_isSeparable,Failed,1.0,1,1,3,3,3.0,0,1,-0.5408541775885082,,-0.5408541775885082
IsGroupHom.inv_ker_one',Proved,0.0,0,1,6,1,6.0,0,1,-0.05397236347198486,-0.05397236347198486,
MeasureTheory.OuterMeasure.comap_ofFunction,Failed,0.2857142857142857,2,7,166,166,23.714285714285715,3,4,-0.5840088261025984,-0.2839743015874484,-0.6182409530607027
MeasureTheory.integrable_of_intervalIntegral_norm_bounded,Open,0.0,0,1,8,6,8.0,1,2,-0.2757844116222235,-0.22505697362563187,-0.3011481306205193
NNReal.le_inv_iff_mul_le,Proved,0.0,0,2,41,37,20.5,2,7,-0.4711650609993692,-0.5229110865335843,-0.44632696874294603
Polynomial.Monic.degree_mul_comm,Open,0.0,0,1,7,7,7.0,0,1,-0.8195679654585556,-1.360677421092987,-0.603124183204783
SetTheory.PGame.zero_lf_inv',Failed,0.5,1,2,27,27,13.5,1,1,-0.5422801390862872,-0.40281817046078766,-0.5476440609564988
