theorem_name,theorem_status,num_leaf_nodes,leaf_cum_lp_mean,leaf_cum_lp_median,leaf_cum_lp_p90,leaf_ppl_mean,leaf_ppl_median,leaf_ppl_p90
Algebra.map_leftMulMatrix_localization,Failed,27,-2.9250429551909547,-3.2008214608007965,-0.6225331916061095,2.4596506149041746,2.254207590839818,2.8670341109189468
Batteries.BinomialHeap.Imp.Heap.WF.tail?,Failed,22,-0.5682922828906282,-0.5492573866898987,-0.3208510374335142,1.4880176265642007,1.386060712204379,1.7491794020741358
CancelDenoms.cancel_factors_lt,Proved,72,-0.618833802343543,-0.5336954793917439,-0.3401913776065841,1.4706015328609188,1.2809820125009812,1.5939600491450323
CategoryTheory.Equivalence.invFunIdAssoc_hom_app,Open,17,-0.5381526732764564,-0.43104015827178954,-0.2838261209834706,1.82727215390685,1.538857346567603,2.4070186716479607
CochainComplex.mk'_d_1_0,Failed,15,-0.391585203413625,-0.3649214689548199,-0.23536098038449008,1.4969868557938775,1.4404008875203593,1.824060058488136
Combinatorics.Line.apply_of_ne_none,Proved,16,-0.44132819042167554,-0.32115294933319094,-0.27728532717145726,1.6331768532141147,1.3787164385280077,1.7967071629608404
ENNReal.le_rpow_one_div_iff,Open,26,-0.9307742699938907,-0.5728125772398451,-0.23025604827063423,2.583138155612342,1.6591844623458845,4.031920712963672
Equiv.Perm.prod_comp',Failed,67,-2.3082615716235595,-1.5803527653217315,-0.2395565551742384,3.5060901590522686,2.2175268183098935,6.8437627085569215
Filter.HasBasis.to_hasBasis',Failed,11,-0.2309247036445173,-0.18812041878700256,-0.14137162268161774,1.2665650181251742,1.2069788495279448,1.4938656966163
Finmap.erase_toFinmap,Proved,1,-0.24050824642181395,-0.24050824642181395,-0.24050824642181395,1.2718954223721064,1.2718954223721064,1.2718954223721064
FreeAlgebra.toTensor_ι,Proved,1,-0.165379931529363,-0.165379931529363,-0.165379931529363,1.1798412924749835,1.1798412924749835,1.1798412924749835
Ideal.span_singleton_eq_span_singleton,Open,4,-0.3472632125145247,-0.2779293487719795,-0.18765368732751583,1.4435574035711705,1.321037660424985,1.777803930575588
IntermediateField.separable_of_mem_isSeparable,Failed,3,-0.5408541775885083,-0.5001461676188877,-0.42576383931296213,1.7320710341695307,1.6489622779757767,1.9655475948487648
IsGroupHom.inv_ker_one',Proved,1,-0.05397236347198486,-0.05397236347198486,-0.05397236347198486,1.0554554326283772,1.0554554326283772,1.0554554326283772
MeasureTheory.OuterMeasure.comap_ofFunction,Failed,149,-1.10380381826346,-1.050978046173615,-0.5962118716003975,1.5773411571137914,1.4997892680809803,1.8220371095351269
NNReal.le_inv_iff_mul_le,Proved,35,-0.5630718583177357,-0.5096792678038279,-0.2865056373522831,1.6238805364810518,1.4033381484360015,2.121510760728854
Polynomial.Monic.degree_mul_comm,Open,5,-0.603124183204783,-0.7501294851303101,-0.2718619343522307,1.8929349159400453,2.1172741543836917,2.373032849580208
SetTheory.PGame.zero_lf_inv',Failed,26,-0.7955321658554451,-0.6367229190086542,-0.5050786814046284,1.8881629288327526,1.4488533169347786,2.9357287368178064
